Запрос,Уточнение запроса,Тип,Вопрос,Ответ
Диагностика и настройка оборудования/подключения,Итерактивное ТВ,Телевидение,Где посмотреть Справочник абонента Wink: ТВ-приставка,https://moscow.rt.ru/sites/default/files/doc/Spravochnik_polzovatelya_IPTV_Wink.pdf
Диагностика и настройка оборудования/подключения,Цифровое ТВ,Телевидение,Что такое HD-ресивер OnLime станция,"OnLime станция. 
Цифровой ресивер с функцией записи.
Это современное и простое решение для подключения и настройки цифрового телевидения, которое подойдет для любой модели телевизора. 
Поддержка HD 2 HD-канала включены в базовый пакет цифрового ТВ ОнЛайм! 
Запись передач на внешнее USB-устройство Подключите жесткий диск или флешку и записывайте любимые передачи.
Управление эфиром 
Подключите жесткий диск или флешку и ставьте эфир на паузу, пользуйтесь перемоткой – вы ничего не пропустите! 
Электронная программа передач Ваш ТВ-гид на неделю.
Родительский контроль 
Ограничьте доступ к нежелательному контенту PIN-кодом. Переключение звуковых дорожек 
Поддержка вещания на иностранных языках.
Инструкции -  https://moscow.rt.ru/sites/default/files/doc/support/zapper.pdf"
Диагностика и настройка оборудования/подключения,Цифровое ТВ,Телевидение,Что такое OnLime TeleCARD,"Инновационное решение для подключения цифрового телевидения! 
• Компактное оборудование 
• Без дополнительных проводов 
• Управление с ТВ-пульта Вам не потребуется помощь специалиста: 
OnLime TeleCARD легко подключить и удобно использовать. 
Установите OnLime TeleCARD в слот CI или CI+ телевизора, активируйте услугу цифрового ТВ и смотрите более 100 цифровых и HD-каналов. 
В стоимость OnLime TeleCARD включены 320 рублей, которые поступят на Ваш лицевой счет после активации услуги."
Диагностика и настройка оборудования/подключения,Цифровое ТВ,Телевидение,Что такое OnLime станция. Цифровой ресивер со встроенным жестким диском,"Цифровой ресивер со встроенным жестки диском на 500 Гб. 
Поддержка HD 2 HD-канала включены в базовый пакет цифрового ТВ ОнЛайм! 
Встроенный жесткий диск Встроенный жесткий диск на 500 Гб – не нужно использовать внешние USB для записи. 
Запись передач Записывайте любимые программы и фильмы. 
2 тюнера Смотрите один канал и одновременно записывайте другой. Управление эфиром Ставьте просмотр на паузу и пользуйтесь перемоткой – вы ничего не пропустите! 
Универсальный пульт Управляйте не только ресивером, но и телевизором*. 
Электронная программа передач Ваш ТВ-гид на неделю 
Родительский контроль 
Ограничьте доступ к нежелательному контенту PIN-кодом 
Переключение звуковых дорожек 
Поддержка вещания на иностранных языках. 
В течение всего срока пользования предоставляется бесплатное сервисное обслуживание и гарантия на ресивер. 
* Пульт дистанционного управления совместим не со всеми марками и моделями телевизоров. Полный список поддерживаемых моделей указан в инструкции к ресиверу. 
В стоимость OnLime TeleCARD включены 250 рублей, которые поступят на Ваш лицевой счет после активации услуги."
Диагностика и настройка оборудования/подключения,Цифровое ТВ,Телевидение,Где посмотреть список каналов со сменой звуковых дорожек,"Список каналов, для которых доступна смена звуковых дорожек: 
Sony Entertainment Television - русский, английский
 Universal Channel - русский, английский
 TV1000 Action - русский, английский
 Fox Crime - русский, английский
 Fox Life - русский, английский
 DIVA Universal - русский, английский
 SyFy - русский, английский
 MGM - русский, английский
 Discovery Channel - русский, английский
 Animal Planet - русский, английский
 Viasat History - русский, английский
 Viasat Explorer - русский, английский
 Viasat Nature -  русский, английский, польский, венгерский, словацкий
 Cartoon Network/TCM  - русский, английский
 JimJam - русский, английский
 Nickelodeon - русский, английский
 Eurosport - русский, английский
 Eurosport 2 - русский, английский
 EurosportNews - русский, английский
 Viasat Sport - русский, английский
 Extreme Sports Channel - русский, английский, французский, голландский
 Sony Sci-Fi - русский, английский
 Discovery Science - русский, английский
 TLC - русский, английский
 MyZen HD - английский, французский
 Discovery Showcase HD - русский, английский
 Animal Planet HD - русский, английский
 Fox Life HD - русский, английский
 Eurosport HD - русский, английский
 Nathional Geographic HD - русский
 Sony Turbo - русский, английский"
Диагностика и настройка оборудования/подключения,Цифровое ТВ,Телевидение,Что такое HD-ресивер OnLime со встроенным жестким диском,"Цифровой HD-ресивер со встроенным жестким диском на 500 Гб, функциями мультимедийного плеера и доступом к услуге «Видеопрокат». 
Мультимедиа 
Слушайте музыку, смотрите видео и фотографии, сохраненные на жестком диске и совместимых запоминающих устройствах. 
Поддержка HD 
2 HD-канала включены в базовый пакет цифрового ТВ ОнЛайм! 
Встроенный жесткий диск 
Встроенный жесткий диск на 500 Гб – не нужно использовать внешние USB для записи. 
Запись передач 
Записывайте любимые программы и фильмы. 
2 тюнера 
Смотрите один канал и одновременно записывайте другой. 
Управление эфиром 
Ставьте просмотр на паузу и пользуйтесь перемоткой – вы ничего не пропустите! 
Универсальный пульт 
Управляйте не только ресивером, но и телевизором*. 
Электронная программа передач 
Ваш ТВ-гид на неделю 
Родительский контроль 
Ограничьте доступ к нежелательному контенту PIN-кодом 
Переключение звуковых дорожек 
Поддержка вещания на иностранных языках. 
В течение всего срока пользования предоставляется бесплатное сервисное обслуживание и гарантия на ресивер"
Диагностика и настройка оборудования/подключения,"Интерактивное ТВ 2.0, WEB портал itv.rt.ru, мобильные приложения iOS/Android, SmartTV (OTT)",Телевидение,Где недоступен функционал пауза и архив программ,"Функционал TSTV(Архив программ) и PauseLive(Пауза) (управления просмотром) на следующих телеканалах и для следующих продуктов не доступен*:
Первый канал
Discovery channel
Animal Planet
TLC
ID XTRA
Discovery Science
DTX
Discovery channel HD
Animal Planet HD
TLC HD
Discovery Science HD
*Функционал управления просмотром на данных телеканалах также будет недоступен абонентам IPTV авторизованным под функционалом «Мультискрин».
"
Диагностика и настройка оборудования/подключения,Управление просмотром,Телевидение,Где посмотреть список каналов с отключенной записью,https://moscow.rt.ru/support/hometv/setting/preview
Оплата услуг,Оплата счета,Телевидение,Как оплатить счет Банковской картой,"На сайте Ростелекома (без комиссии) - https://moscow.rt.ru/payment.
В Личном кабинете на сайте (без комиссии) - https://www.onlime.ru/.
Интернет банки(При оплате обращайте внимание на размер комиссии):     
Почта банк - https://my.pochtabank.ru/login?next=%2F,
Сбербанк ОнЛ@йн - https://www.sberbank.ru/ru/person/dist_services, 
Промсвязь банк - https://www.psbank.ru/, 
Московский кредитный банк - https://mkb.ru/about/address/branch, 
МТС-Банк (Интернет банк) - https://www.mtsbank.ru/private/inbanking/, 
Система WM Keeper Mobile - http://www.webmoney.ru/, 
Ситибанк - https://www.citibank.ru/russia/branches/rus/branches.htm, 
Райффайзен банк - https://online.raiffeisen.ru/, 
Единый кошелек - https://www.walletone.com/ru/merchant/, 
Русский Стандарт (система Интернет-банкинг и банкоматы) - https://www.rsb.ru/about/atms/moscow/, 
Интернет-банк «Альфа-Клик» - https://alfabank.ru/everyday/online/alfaclick/"
Оплата услуг,Оплата счета,Телевидение,Как оплатить счет Электронными кошельками,"При оплате обращайте внимание на размер комиссии: 
Сбербанк. Мобильные приложения. -  https://www.sberbank.ru/ru/person/dist_services, 
Яндекс.Деньги - https://money.yandex.ru/oplata/onlaiem-internet, 
Кошелек Элекснет - https://1.elecsnet.ru/NotebookFront/services/0mhp/default.aspx?merchantId=23267,     
WebMoney - https://telepay.wmtransfer.com/ru/operator/327, 
RuRu.ru - https://www.ruru.ru/init-payment/39, 
РБК.Money - https://rbk.money/, 
IntellectMoney - https://www.intellectmoney.ru/ru/, 
Веб-кошелёк (ПСКБ) - https://webpay.pscb.ru/login/auth, 
Единый кошелек - https://www.walletone.com/ru/merchant/"
Оплата услуг,Оплата счета,Телевидение,Как оплатить счет в терминале,"При оплате обращайте внимание на размер комиссии: 
Терминалы моментальной оплаты Сбербанка России - https://www.sberbank.ru/ru/person, 
«Открытие» ПАО - https://www.open.ru/, 
«Примсоцбанк» ПАО - https://www.pskb.com/, 
«БТА Банк» АО - http://bta.kz/"
Оплата услуг,Оплата счета,Телевидение,Как оплатить счет другими способами,"При оплате обращайте внимание на размер комиссии: 
Почта банк - https://www.pochtabank.ru/map, 
Московский Кредитный Банк - https://mkb.ru/about/address/branch, 
Comepay - https://comepay.ru/business#terminals, 
М.Видео - https://www.mvideo.ru/shops/, 
Альт Телеком - http://alttelecom.ru/salones/172?type=1, 
МТС - https://moskva.mts.ru/business/podderzhka/saloni-magazini-mts/, 
Связной - https://www.svyaznoy.ru/shops, 
«Промсвязьбанк» - https://www.psbank.ru/?utm_source=svyazbank2, 
МТС-Банк - https://www.mtsbank.ru/o-banke/ofisi-i-bankomati/, 
Банк Северный морской путь - https://smpbank.ru/ru/contact/"
Оплата услуг,Номер лицевого счета,Телевидение,Как узнать номер лицевого счета,https://kazan.rt.ru/support/hometv/payment/contract-account-number
Оплата услуг,Порядок выставления и оплаты счетов за услугу и оборудование,Телевидение,Как посмотреть Порядок выставления и оплаты счетов за услуги и оборудование,https://kazan.rt.ru/support/hometv/payment/service-or-equipment-account-payment-methods
Оплата услуг,Сумма к оплате за услуги или оборудование,Телевидение,Как узнать сумму к оплате за услуги или оборудование,https://kazan.rt.ru/support/hometv/payment/service-or-equipment-payment-amount
Оплата услуг,Получение счета,Телевидение,Как получать счета,https://kazan.rt.ru/support/hometv/payment/invoice-delivery-ways
Оплата услуг,Поступление платежа,Телевидение,"Как узнать, поступил ли платеж",https://kazan.rt.ru/support/hometv/payment/find-out-if-payment-has-arrived
Оплата услуг,Услуга не работает,Телевидение,"Что делать, если платеж поступил, но услуга не работает",https://kazan.rt.ru/support/hometv/payment/payment-received-but-no-service
Оплата услуг,Платеж не поступил,Телевидение,"Что делать, если платеж не поступил на счет",https://kazan.rt.ru/support/hometv/payment/payment-has-not-been-received
Оплата услуг,Автоплатеж,Телевидение,Как подключить автоплатеж,https://kazan.rt.ru/support/hometv/payment/how-to-enable-auto-payment
Оплата услуг,Обещанный платеж,Телевидение,Как подключить обещанный платеж,https://kazan.rt.ru/support/hometv/payment/how-to-activate-promised-payment
Оплата услуг,Остаток денежных средств,Телевидение,Как вернуть остаток денежных средств безналичным способом,https://kazan.rt.ru/support/hometv/payment/how-return-balance-of-funds-using-non-cash-method
Дополнительная информация,Меры безопасности,Телевидение,Где найти информацию по мерам безопасности,https://kazan.rt.ru/support/hometv/reference-information/precautions
Дополнительная информация,Договоры и соглашения,Телевидение,Где посмотреть договоры и правовые документы,https://kazan.rt.ru/support/documents#wink
Дополнительная информация,Руководства пользователя,Телевидение,Где посмотреть руководства пользователя,https://kazan.rt.ru/support/hometv/reference-information/user-guides
Подключение,Нет,Мобильная связь,Как стать клиентом Ростелекома,"Стать нашим клиентом очень просто!

Для этого достаточно заключить договор в Центре продаж и обслуживания или подать заявку на подключение на нашем сайте и курьер бесплатно доставит Вам Sim-карту в удобное для Вас время. Если
 Вы хотите приобрести пакет услуг Домашний интернет + ТВ вместе с 
мобильной связью, то Вы также можете оформите заявку в разделе нашего 
сайта «Пакетные предложения» и мы оперативно свяжемся с Вами для уточнения деталей подключения. Ростелеком — это огромный выбор тарифов и услуг для Вашего телефона и большие преимущества для Вас: общение без ограничений (Безлимитные соцсети и мессенджеры),бесплатные звонки по России на номера Ростелекома,единый баланс для семьи,до 5 сим-карт с тарифом «Семейная история»,в поездках, как дома: единые цены в «домашнем» регионе и в поездках по России (нет роуминга),неиспользованные минуты, гигабайты и СМС переносятся на следующий месяц,обмен минут на гигабайты,программа «Бонус». Какие документы нужны для заключения договора: Договор заключается по паспорту РФ. Для лиц до 18 лет — в присутствии родителей по письменному согласию. Если
 Вы не являетесь гражданином РФ, необходим паспорт иностранного 
гражданина и документ, удостоверяющий адрес регистрации на территории 
России (при его отсутствии предъявляется миграционная карта (часть Б) с 
отметкой органов пограничного контроля о дате пересечения границы. При 
этом, время нахождения иностранного гражданина на территории РФ без 
регистрации, не должно превышать срока, установленного законодательством
 РФ. Если у Вас 
отсутствует гражданство — возьмите документ, удостоверяющий личность на 
территории РФ (разрешение на временное проживание, вид на жительство) с 
указанием сведений о регистрации на территории РФ. С текстом договора можно предварительно ознакомиться здесь."
Подключение,Переход в «Ростелеком» со своим номером,Мобильная связь,Как перейти в Ростелеком с сохранением своего номера телефона?,"1)Чтобы перейти в Ростелеком, сохранив номер мобильного телефона, необходимо:

                                                        оформить заявку на
                                                                                сайте - https://moscow.rt.ru/mnp или обратиться в любой Центр продаж и обслуживания. Не забудьте взять с собой паспорт. Если номер
                                                                        оформлен не на Вас, то дополнительно возьмите нотариально заверенную доверенность от владельца номера;написать заявление на перенос номера в сеть
                                                                        Ростелеком;выбрать интересующий Вас тарифный план, заключить
                                                                        договор с Ростелеком и получить комплект с SIM-картой. Стоимость комплекта зависит от выбранного Вами
                                                                        тарифного плана. 2) Ваш номер будет перенесен в сеть Ростелеком в
                                                        соответствии со сроками, указанными в «Правилах оказания услуг подвижной связи». При подаче заявления Вы можете
                                                        указать желаемую дату переноса номера в Ростелеком. Если желаемая дата не указана в заявлении, номер будет
                                                        перенесен автоматически, но не ранее 8-го дня со дня заключения договора с Ростелеком. 3) До момента фактического переноса номера в Ростелеком у
                                                        Вас будет две SIM-карты:
                                                        SIM-карта Вашего предыдущего оператора с привычным
                                                                        для Вас номером;полученная SIM-карта Ростелеком с временным номером,
                                                                        которой, при необходимости, Вы можете воспользоваться до фактического переноса номера. 4) В момент переноса номера в Ростелеком SIM-карта Вашего
                                                        предыдущего оператора перестает работать, а Ваш привычный номер переносится на полученную SIM-карту Ростелеком. 5) На каждом этапе перехода в сеть Ростелеком Вы будете
                                                        получать SMS-уведомления на текущий или временный номера, поэтому легко сможете следить за процессом."
Подключение,Переход в «Ростелеком» со своим номером,Мобильная связь,Какие условия для перехода в Ростелеком с сохранением своего номера телефона?,"Вам понадобится: 
Заявление на перенос номера может подать человек, на
                                                        которого заключен договор об оказании услуг связи с использованием данного номера при условии предъявления
                                                        паспорта, или его доверенное лицо при условии предъявления нотариально заверенной доверенности;для успешного переноса номера на договоре у текущего
                                                        оператора
                                                        не должно быть долгов;ваш номер не должен быть заблокирован в связи с утратой
                                                        SIM-карты, по решению суда или в связи с неоплатой услуг предыдущего оператора подвижной связи;в заявлении на перенос номера должны быть указаны
                                                        актуальные
                                                        персональные данные, совпадающие с данными в договоре у оператора, у которого Вы обслуживались ранее;с момента последнего переноса номера прошло более 60
                                                        дней; переноситься могут только федеральные номера
                                                        (городские
                                                        номера
                                                        не переносятся);переноситься могут номера в пределах одного субъекта
                                                        РФ;при переносе номера возможно краткосрочное ограничение
                                                        связи:
                                                        исходящие связь и SMS могут быть недоступны на период до 30 минут, все входящие звонки и SMS — на период до 6
                                                        часов."
Подключение,Переход в «Ростелеком» со своим номером,Мобильная связь,"Какие приемущества перехода в ""Ростелеком""?","Ростелеком — это огромный выбор тарифов и услуг для Вашего
                                                телефона и большие преимущества для Вас: 
                                                        Общение без ограничений

                                                        Безлимитные соцсети и мессенджеры, бесплатные звонки по России на номера Ростелекома
                                                
                                                        Единый баланс для семьи


                                                        До 5 сим-карт с тарифом «Семейная история»
                                                
                                                        В поездках, как дома

                                                        Единые цены в «домашнем» регионе и в поездках по России (нет роуминга)
                                                        Год бесплатного ТВ

                                                        101 канал безлимитного мобильного телевидения в приложении Wink на новой линейке тарифов
                                                Неиспользованные минуты, гигабайты и СМС переносятся на
                                                        следующий месяцОбмен минут на гигабайтыПрограмма «Бонус»"
Подключение,Переход в «Ростелеком» со своим номером,Мобильная связь,"Что делать, если отказали в переносе номера отказано?","1) Причина отказа — данные в заявлении не совпадают с
                                                        данными у прежнего оператора (номер, ФИО, паспортные данные):
                                                        исправить данные у прежнего оператора, обратившись в
                                                                        его офис продаж и обслуживания. Для успешного переноса номера необходимо, чтобы совпадали ФИО, паспортные
                                                                        данные владельца;после этого необходимо повторно подать заявление на
                                                                        переход в Ростелеком в одном из наших Центров продаж и обслуживания.2) Причина отказа — не погашен долг перед прежним
                                                        оператором:
                                                        если после подачи заявления на перенос номера в
                                                                        Ростелеком у Вас осталась неоплаченная задолженность перед Вашим прежним оператором (задолженность должна быть
                                                                        оплачена до 24:00 часов 4-го дня с даты подачи заявления на перенос номера в Ростелеком);погасить задолженность перед Вашим прежним оператором
                                                                        любым удобным для Вас способом и повторно подать заявление на переход в Ростелеком в одном из наших Центров
                                                                        продаж и обслуживания.3)Причина отказа — прошло менее 60 дней с момента
                                                        предыдущего переноса номера:

                                                        дождаться истечения указанного срока и повторно подать заявление
                                                                на переход в Ростелеком в одном из наших Центров продаж и обслуживания.4) Причина отказа — переносимый номер зарегистрирован в
                                                        другом регионе (субъекте РФ):

                                                        необходимо обратиться в Центр продаж и обслуживания в том
                                                                регионе (субъекте РФ), где был зарегистрирован Ваш номер.5) Причина отказа — номер заблокирован прежним
                                                        оператором:
                                                        необходимо разблокировать номер, обратившись в офис Вашего
                                                                прежнего оператора. После этого необходимо повторно подать заявление на переход в Ростелеком в одном из наших
                                                                Центров продаж и обслуживания."
Оплата,Форма оплаты,Мобильная связь,Какие есть формы оплаты?,"Решайте сами, как Вам 
удобнее платить за мобильную связь: сначала или потом, контролировать 
расходы в режиме онлайн или получать счет с суммой к оплате раз в месяц.

Постоплатная форма оплаты — это:

вы сначала пользуетесь услугами сотовой связи и в конце расчетного периода Вам выставляется счет;счет необходимо оплатить в течение 20 дней с момента выставления*;расчетный период всегда с 1-го по последнее число месяца;каждый 
тарифный план предусматривает кредитный лимит, при превышении которого 
предоставление услуг связи приостанавливается до внесения аванса;
        размер кредитного лимита зависит от тарифного плана:

        линейный ТП — 427 рублей;

        пакетный ТП — Абонентская плата по тарифу, умноженная на 3.
    

* В  случае неоплаты 
счета в течение 180 (ста восьмидесяти) последовательных календарных 
дней, Договор об оказании услуг связи считается расторгнутым по 
инициативе Абонента.

Предоплатная форма оплаты — это:

Вы пополняете баланс и после этого пользуетесь услугами сотовой связи;по достижению баланса 0,00 рублей номер блокируется — оказание исходящих услуг связи приостанавливается;если у Вас пакетный тарифный план, то списание Абонентской платы будет производиться в дату подключения/перехода на тариф;если на 
момент списания ежемесячной платы сумма на Вашем балансе менее размера 
ежемесячной платы по тарифу, то списание абонентской платы не 
произойдет**, а тарификация будет производиться по параметру «в случае 
неоплаты ежемесячной платы» по вашему тарифу;после 
пополнения баланса на сумму, достаточную для списания ежемесячной платы 
по тарифу, произойдет списание абонентской платы и Вам будут вновь 
предоставлены пакеты услуг. В следующих месяцах дата списания 
абонентской платы будет перенесена на эту дату пополнения баланса.

** В случае 
несовершения действий, влекущих списание денежных средств за оказанные 
услуги, в течение последовательных 120 дней или незачисления денежных 
средств на лицевой счет в течение указанного срока, будет списываться 
ежедневная абонентская плата в размере 3 руб., с целью компенсации 
расходов Компании по содержанию абонента в системе. Абонентская плата 
взимается до момента достижения нулевого баланса или зачисления денежных
 средств на лицевой счет.

В случае нахождения 
баланса лицевого счета равным или ниже нулевой отметки в течение 180 
последовательных календарных дней, Договор об оказании услуг связи 
считается расторгнутым по инициативе Абонента."
